annotation_id,persona_id,image_id,predicted_sentiment,caption_topic,just_topic
p04f4ad2a_img_1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK__baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,Positive,-1,8
p04f4ad2a_img_1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,SlightlyPositive,1,1
p04f4ad2a_img_1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,Neutral,-1,-1
p04f4ad2a_img_1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,Negative,8,40
p04f4ad2a_img_1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,Negative,164,5
p04f4ad2a_img_13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,Neutral,-1,9
p04f4ad2a_img_16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,Negative,33,2
p04f4ad2a_img_1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,Neutral,17,4
p04f4ad2a_img_1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,Neutral,2,-1
p04f4ad2a_img_1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,Neutral,84,20
p04f4ad2a_img_1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ__baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,Negative,0,23
p04f4ad2a_img_1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ_baseline,04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,Positive,144,-1
p3f756c71_img_1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,Negative,31,104
p3f756c71_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,Neutral,-1,9
p3f756c71_img_1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,Neutral,13,14
p3f756c71_img_183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,Neutral,-1,-1
p3f756c71_img_1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,Neutral,20,70
p3f756c71_img_14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,Negative,-1,78
p3f756c71_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,Negative,6,82
p3f756c71_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,SlightlyNegative,7,7
p3f756c71_img_1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,Negative,12,95
p3f756c71_img_1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,Neutral,11,3
p3f756c71_img_1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,Positive,25,42
p3f756c71_img_1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,Neutral,68,98
p3f756c71_img_1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,Negative,-1,-1
p3f756c71_img_1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,Negative,77,-1
p3f756c71_img_13VAge1esbhXsqK9d8LznHQzWgjFA-qRY_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,SlightlyPositive,23,1
p3f756c71_img_1o7J69bQhbz_B92JymZCrYVdNyn3j3boo_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,Positive,41,65
p3f756c71_img_1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,SlightlyPositive,101,3
p3f756c71_img_1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,Negative,51,-1
p3f756c71_img_1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,Negative,81,2
p3f756c71_img_1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,Negative,166,11
p3f756c71_img_1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,Positive,-1,79
p3f756c71_img_1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,Positive,65,-1
p3f756c71_img_11DOuFmByYWPoQc2QyFxzxcb1da83nIqF_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,Negative,-1,12
p3f756c71_img_1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,Neutral,70,48
p3f756c71_img_135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,Negative,5,21
p3f756c71_img_160nowuoebdBnrXT3OgLQmAXD-qAJdkhn_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,Negative,96,62
p3f756c71_img_1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,Positive,35,-1
p3f756c71_img_1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,Positive,-1,37
p3f756c71_img_1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,Negative,40,12
p3f756c71_img_102tapSsNubXllWzP7asAW-qwMJApiWt6_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,102tapSsNubXllWzP7asAW-qwMJApiWt6,Negative,157,97
p3f756c71_img_10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,Positive,-1,9
p3f756c71_img_16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,Negative,-1,103
p3f756c71_img_1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,Negative,49,23
p3f756c71_img_1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,Negative,87,-1
p3f756c71_img_1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,Positive,91,65
p3f756c71_img_1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,Neutral,78,9
p3f756c71_img_1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,Negative,9,49
p3f756c71_img_103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,Negative,3,12
p3f756c71_img_1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK__baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,Positive,34,8
p3f756c71_img_1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,Positive,1,1
p3f756c71_img_1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,Neutral,-1,20
p3f756c71_img_1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,Negative,8,104
p3f756c71_img_1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,Negative,131,5
p3f756c71_img_13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,Neutral,185,9
p3f756c71_img_16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,Negative,102,2
p3f756c71_img_1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,Neutral,17,4
p3f756c71_img_1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,Neutral,2,-1
p3f756c71_img_1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,Neutral,-1,20
p3f756c71_img_1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ__baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,Negative,0,-1
p3f756c71_img_1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ_baseline,3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,Positive,118,0
p9f0ff784_img_1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,Negative,31,-1
p9f0ff784_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,Neutral,150,-1
p9f0ff784_img_1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,Neutral,139,14
p9f0ff784_img_183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,Neutral,52,-1
p9f0ff784_img_1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,Neutral,38,70
p9f0ff784_img_14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,Negative,22,78
p9f0ff784_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,SlightlyNegative,32,12
p9f0ff784_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,Neutral,7,7
p9f0ff784_img_1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,Negative,14,76
p9f0ff784_img_1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,Neutral,-1,3
p9f0ff784_img_1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,Positive,54,0
p9f0ff784_img_1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,Neutral,68,98
p9f0ff784_img_1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,Negative,-1,12
p9f0ff784_img_1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,Negative,-1,12
p9f0ff784_img_13VAge1esbhXsqK9d8LznHQzWgjFA-qRY_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,Neutral,108,1
p9f0ff784_img_1o7J69bQhbz_B92JymZCrYVdNyn3j3boo_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,Positive,-1,24
p9f0ff784_img_1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,SlightlyPositive,143,3
p9f0ff784_img_1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9_baseline,9f0ff784-254f-4a03-b9f8-709e0e9e3261,1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,Negative,-1,46
