image_id,caption_sim,n_personas,sentiment_agreement,majority_sentiment,label_jaccard,just_sim
1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,0.8957564,1200,0.5571434528773979,Negative,0.34786705852760896,0.58429897
1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,0.90579355,1200,0.971944676118988,Positive,0.2834857200224173,0.6144562
1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,0.78721243,1200,0.5477856547122603,Neutral,0.41777879162970905,0.5123111
1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,0.7282155,1199,0.9511696586331682,Negative,0.47125827489200695,0.5295996
1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,0.84865135,1199,0.4096875387252315,Positive,0.3717693656215046,0.5135604
1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,0.8981597,1199,0.4923746973340332,Neutral,0.23165800315484042,0.52976376
1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,0.85641855,1200,0.9916944676118988,Negative,0.3451152266438963,0.52555573
1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,0.96697295,1015,0.9275910649915955,Positive,0.3937534290054184,0.57896286
1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,0.8355037,1200,0.36284681679177094,Neutral,0.4210015654579875,0.5436229
1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,0.831983,1195,0.5752107819431888,Neutral,0.4162273244418279,0.5051752
1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,0.9088624,1192,0.5048222406302301,Positive,0.25954310193000535,0.61959624
1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,0.8624981,1200,0.8360633861551293,Negative,0.2816007320915578,0.5823447
1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,0.82833487,1194,0.45972809001700315,Positive,0.35211561874086567,0.50566983
1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,0.9182713,1200,1.0,Negative,0.8216779028820312,0.7508578
1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,0.95556104,1200,0.9983333333333333,Positive,0.5259965182625732,0.6175589
1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,0.9486929,1200,0.9165818737837087,Positive,0.7575826945735202,0.5925539
1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,0.8525594,1199,0.7902453491432064,Negative,0.47277557628946026,0.5286057
1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,0.9798152,1200,0.9950083402835697,Positive,0.48396511643300644,0.6236216
1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,0.8695109,1200,0.5249791492910759,Positive,0.34403583012298605,0.6227546
1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,0.83182526,1199,0.9639167865263345,Positive,0.40527770081077585,0.5528589
1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,0.63365716,1200,0.613016402557687,Positive,0.37674076611461926,0.48081267
1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,0.84062046,1200,0.40156102307478453,Positive,0.5537744036035321,0.5055125
1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,0.9646597,1199,0.9900334307526722,Negative,0.4522241474470725,0.5794759
1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,0.88728666,1152,0.9948007167680278,Positive,0.4135480681768556,0.70740044
